id,code_INSEE,commune,surface_parcourue_m2,annee,mois,jour,heure,nature_inc_prim,nature_inc_sec,latitude,longitude,altitude_med
418,66205,Tautavel,331900,2016,Aug,1,17,Malveillance,NA,42.8163,2.7161,182.0
419,66212,Torreilles,150000,2016,Aug,6,18,Malveillance,NA,42.757,3.0059,7.0
420,66008,Argel̬s-sur-Mer,50000,2016,Aug,13,15,Malveillance,NA,42.53,3.0232,5.0
421,11148,Fontcouverte,211482,2016,Aug,21,14,Accidentelle,NA,43.1693,2.6904,56.0
422,11361,Saint-Papoul,52980,2016,Aug,21,16,Involontaire,travaux,43.3376,2.0437,180.0
423,2B251,Prunelli-di-Fiumorbo,399600,2016,Aug,8,13,Malveillance,NA,42.0069,9.3749,82.0
424,13001,Aix-en-Provence,414600,2016,Aug,1,15,Malveillance,NA,43.536,5.3879,215.0
425,66030,Calce,90000,2016,Aug,22,8,Malveillance,NA,42.7477,2.7545,182.0
426,13056,Martigues,57600,2016,Aug,1,19,Malveillance,NA,43.3839,5.0451,12.0
427,13118,Coudoux,50900,2016,Aug,6,15,Involontaire,particulier,43.5587,5.2559,198.0
428,13097,Saint-Martin-de-Crau,166400,2016,Aug,6,22,Malveillance,NA,43.6074,4.8688,12.0
429,2B105,Erbajolo,80000,2016,Aug,24,10,Malveillance,NA,42.252,9.2642,179.0
430,2B238,Poggio-di-Venaco,340039,2016,Aug,24,11,Malveillance,NA,42.269,9.2048,350.0
431,2B009,Al̩ria,88000,2016,Aug,26,12,Malveillance,NA,42.0993,9.4972,41.0
432,2B096,Corte,784900,2016,Aug,22,14,Malveillance,NA,42.2737,9.0691,1372.0
433,2B148,Lucciana,100135,2016,Aug,25,14,Malveillance,NA,42.5393,9.465,37.0
434,2B116,Focicchia,263500,2016,Aug,25,14,Malveillance,NA,42.2472,9.2856,179.0
435,84030,Caromb,80000,2016,Aug,27,16,Malveillance,NA,44.11,5.1078,98.0
436,2B148,Lucciana,53500,2016,Aug,26,11,Involontaire,particulier,42.5393,9.465,37.0
437,34073,Cers,67600,2016,Sep,5,12,Accidentelle,NA,43.3314,3.3176,15.0
438,11286,Peyriac-Minervois,263087,2016,Sep,5,23,Malveillance,NA,43.2951,2.5714,125.0
439,11410,Villalier,107055,2016,Sep,7,15,Involontaire,particulier,43.2507,2.4191,120.0
440,66030,Calce,80000,2016,Sep,9,14,Malveillance,NA,42.7477,2.7545,182.0
441,34291,Saint-Vincent-d'Olargues,230800,2016,Sep,11,1,Malveillance,NA,43.558,2.8693,955.0
442,2B299,San-Gavino-d'Ampugnani,300000,2016,Jan,11,20,Involontaire,travaux,42.4173,9.4266,185.0
443,34055,Castanet-le-Haut,100000,2016,Sep,23,10,Involontaire,travaux,43.6771,2.95,424.0
444,34055,Castanet-le-Haut,55000,2016,Sep,24,8,Involontaire,travaux,43.6771,2.95,424.0
445,66048,Cerb̬re,150000,2016,Mar,8,13,Involontaire,travaux,42.4471,3.1493,72.0
446,66016,Banyuls-sur-Mer,77000,2016,Sep,24,15,Involontaire,particulier,42.4602,3.1015,72.0
447,2B140,Lento,98500,2016,Sep,28,12,Malveillance,NA,42.5259,9.2642,480.0
448,7018,Astet,240000,2016,Sep,24,22,Malveillance,NA,44.6841,4.0211,1230.0
449,66192,Sauto,80000,2016,Sep,28,14,Involontaire,particulier,42.5166,2.1461,1151.0
450,34235,Rosis,396200,2016,Oct,10,13,Malveillance,NA,43.6295,2.9989,900.0
451,5164,Savines-le-Lac,60000,2016,Dec,1,11,Involontaire,particulier,44.53,6.395,765.0
452,66190,Salses-le-Ch̢teau,535000,2016,Oct,11,11,Involontaire,travaux,42.8359,2.9134,7.0
453,6103,Roquebilli̬re,323050,2016,Dec,29,13,Malveillance,NA,44.0282,7.2885,625.0
454,4193,Saint-Paul-sur-Ubaye,81000,2016,Dec,27,13,Involontaire,particulier,44.5647,6.8188,1908.0
455,30154,Mandagout,65079,2016,Mar,24,11,Involontaire,travaux,44.0257,3.6275,485.0
456,30169,Milhaud,85420,2016,Sep,8,11,Malveillance,NA,43.7831,4.3081,24.0
457,6049,Courmes,72200,2016,Mar,9,15,Malveillance,NA,43.7514,7.0196,985.0
458,43171,Saint-B̩rain,100000,2017,Feb,23,15,Involontaire,particulier,45.0271,3.6261,985.0
459,73235,Saint-Fran̤ois-Longchamp,74700,2017,Feb,23,16,Involontaire,particulier,45.3959,6.3554,460.0
460,12168,Nant,100000,2017,Mar,16,13,Accidentelle,NA,44.0204,3.2887,794.0
461,43155,Prades,50000,2017,Aug,14,22,Involontaire,particulier,45.025,3.5972,985.0
462,81163,Mazamet,50000,2017,Aug,29,23,Malveillance,NA,43.4666,2.3863,718.0
463,16061,Brie,150000,2017,Jun,24,13,Involontaire,travaux,45.7329,0.2623,161.0
464,16255,Parzac,70500,2017,Jun,18,12,Involontaire,travaux,45.9264,0.4221,162.0
465,45015,Autruy-sur-Juine,150000,2017,Jul,21,13,Involontaire,travaux,48.2786,2.0961,127.0
466,97410,Saint-Benǫt,50000,2017,Sep,16,9,Malveillance,NA,-21.0887,55.6312,850.0
467,31573,Verfeil,100000,2017,Jul,18,17,Accidentelle,NA,43.6579,1.6792,118.0
468,31085,Boutx,60000,2017,Jan,7,13,Involontaire,travaux,42.9169,0.7722,800.0
469,31222,Gouaux-de-Luchon,120000,2017,Apr,22,16,Accidentelle,NA,42.8501,0.644,500.0
470,15156,Prunet,60000,2017,Apr,8,16,Involontaire,travaux,44.8272,2.4647,762.0
471,15149,Paulhenc,60000,2017,Apr,16,12,Involontaire,travaux,44.8808,2.814,930.0
472,15113,Mandailles-Saint-Julien,100000,2017,Apr,24,16,Involontaire,travaux,45.0775,2.6649,1060.0
473,97415,Saint-Paul,96000,2017,Nov,3,4,Malveillance,NA,-21.0366,55.3402,1200.0
474,24465,Saint-Michel-de-Double,55000,2017,Apr,21,17,Involontaire,travaux,45.0977,0.2714,120.0
475,40167,Luxey,60000,2017,Feb,21,14,Involontaire,particulier,44.2382,-0.5061,89.0
476,65045,Aucun,300000,2017,Mar,17,13,Involontaire,travaux,42.986,-0.1986,1105.0
477,66069,Espira-de-l'Agly,100000,2017,Oct,12,12,Involontaire,travaux,42.7987,2.8231,42.0
478,66016,Banyuls-sur-Mer,200000,2017,Nov,6,11,Accidentelle,NA,42.4602,3.1015,72.0
479,2A019,Arbori,53000,2017,Apr,1,19,Malveillance,NA,42.123,8.7958,414.0
480,6146,Tournefort,151250,2017,Apr,7,13,Malveillance,NA,43.942,7.1596,630.0
481,2A041,Bonifacio,84300,2017,Sep,13,22,Accidentelle,NA,41.4217,9.1973,107.0
482,6077,Luc̩ram,79300,2017,Jan,6,11,Involontaire,travaux,43.8997,7.3506,1420.0
483,7153,Mayres,213000,2017,Mar,21,17,Malveillance,NA,44.6646,4.1001,550.0
484,5038,Ch̢teau-Ville-Vieille,233900,2017,Apr,25,13,Malveillance,NA,44.7617,6.811,1825.0
485,26354,Treschenu-Creyers,55000,2017,Apr,24,12,Involontaire,particulier,44.7318,5.5412,1010.0
