id,code_INSEE,tens_vap_med,surface_parcourue_m2
1046,79195,11.0,129000
1047,79016,11.1,129000
1048,47039,11.6,228000
1049,24354,11.4,597000
1050,24273,11.1,122000
1051,24165,12.0,50000
1052,24165,12.0,80000
1053,40053,11.7,60000
1054,40287,11.9,169660
1055,40307,12.1,168180
1056,40142,12.0,258000
1057,40167,12.1,184110
1058,40142,12.0,326000
1059,40087,11.7,85990
1060,40123,12.2,459000
1061,40217,12.05,118000
1062,64233,11.2,100000
1063,64217,12.9,150000
1064,33021,12.1,105000
1065,33348,12.2,194000
1066,33544,12.2,50000
1067,33322,12.1,50000
1068,41193,10.7,80000
1069,41193,10.7,80000
1070,86086,11.0,51500
1071,2B210,12.8,70000
1072,7202,9.7,214923
1073,2B135,12.6,50000
1074,2B007,6.2,493700
1075,2B207,12.8,222400
1076,2B095,9.2,321000
1077,34156,10.7,82618
1078,34279,11.1,63576
1079,2B235,12.6,350000
1080,2B290,12.6,80000
1081,2B145,12.8,190000
1082,5004,7.5,339545
1083,5090,7.6,446427
1084,7093,9.6,170980
1085,2B290,12.6,112000
1086,2B223,10.9,56000
1087,6153,4.6,396400
1088,4019,7.0,350000
1089,4170,10.1,867100
1090,13005,11.2,120000
1091,30325,9.7,190184
1092,83044,9.1,273000
1093,4018,9.4,59700
1094,2A117,10.0,73000
1095,2A031,9.4,77000
1096,34214,11.0,97231
1097,48119,8.5,80000
1098,48116,8.8,200000
1099,66127,11.5,80000
1100,2B046,12.55,339800
1101,2B184,12.55,96300
1102,2B058,12.55,239000
1103,2B301,8.9,116000
1104,13117,11.4,70000
1105,13044,10.8,50000
1106,66014,11.4,293800
1107,30041,10.75,179700
1108,30145,11.1,376800
1109,13067,11.8,99900
1110,48145,7.3,60000
1111,48049,9.2,50000
1112,48040,8.5,60000
1113,34118,10.9,329248
1114,34268,10.7,146953
1115,66093,11.0,101000
1116,26146,10.9,363463
1117,26295,11.5,110000
1118,2B314,8.9,350000
1119,2B354,9.25,261600
1120,2B123,12.6,57000
1121,2B029,12.3,53000
1122,2B143,13.3,730000
1123,2B123,12.6,235900
1124,2B009,13.3,300000
