code_INSEE,latitude,longitude,altitude_med
40307,44.3073,-0.6021,70.0
40142,43.8533,-0.9816,77.0
40087,43.9948,-0.0744,150.0
40123,43.8013,-1.1332,26.0
40217,44.3527,-1.0879,15.0
64233,43.5578,-0.2739,130.0
64217,43.1837,-0.7141,350.0
33021,44.5117,-0.159,114.0
33348,45.3565,-0.9952,14.0
33544,45.5573,-1.0826,12.0
33322,44.9555,-0.6737,27.0
41193,47.9517,1.0287,206.0
86086,46.8111,0.7262,58.0
2B210,42.4168,9.464,25.0
2B135,42.0169,9.2694,198.0
2B007,42.3145,8.9277,1074.0
2B207,42.4565,9.4888,25.0
34156,43.6361,3.2849,184.0
34279,43.5206,3.0847,230.0
5004,44.6195,6.2288,1354.0
5090,44.74,6.1211,1100.0
7093,44.7401,4.3915,428.0
2B223,42.5427,9.1778,510.0
4019,44.3751,6.6463,2100.0
30325,43.9903,3.7407,252.0
83044,43.7075,6.506,884.0
4018,44.0244,5.6496,747.0
2A117,41.8463,9.0155,541.0
2B046,42.8725,9.4431,278.0
13044,43.6172,5.0431,58.0
30041,43.9667,4.3727,59.0
30145,43.9104,4.5194,24.0
48145,44.7377,3.4717,1418.0
48049,44.5333,3.2667,746.0
48040,44.55,3.8167,900.0
34118,43.728,3.923,65.0
26146,44.4395,4.9032,206.0
26295,45.1607,4.8706,203.0
2B354,42.1429,9.1139,986.0
2B029,42.6826,9.3636,300.0
2B352,42.5845,8.9917,844.0
30319,44.0409,4.3377,603.0
66041,42.7931,2.7771,182.0
34295,43.5685,3.7829,45.0
7040,45.0287,4.6877,566.0
48146,44.3635,3.4574,618.0
