id,code_INSEE,annee,mois,jour,heure,tmax_med
1123,73235,2017,Feb,23,16,21.7
1124,7330,2022,Jul,18,14,19.2
1125,7334,2013,Sep,19,15,19.5
1126,77186,2020,Aug,7,12,16.7
1127,79016,2022,Jul,10,12,17.3
1128,79111,2022,Jun,15,13,17.8
1129,79153,2019,Jul,7,19,17.8
1130,79154,2020,Aug,4,11,17.8
1131,79168,2015,Aug,19,12,17.05
1132,79195,2022,Jun,27,15,19.45
1133,79246,2020,Jul,30,17,18.4
1134,79280,2015,Jul,11,18,19.45
1135,81004,2015,Jul,3,13,18.6
1136,81016,2019,Sep,15,5,17.6
1137,81027,2022,Jul,30,17,17.15
1138,81066,2016,Sep,5,15,14.0
1139,81073,2022,Jun,19,14,18.8
1140,81163,2017,Aug,29,23,14.0
1141,81243,2022,Jun,18,12,18.6
1142,81325,2022,Jun,18,19,17.6
1143,82038,2013,Apr,17,16,18.9
1144,82131,2020,Jul,13,14,25.4
1145,82187,2020,Aug,10,14,19.4
1146,83003,2019,Jul,2,11,16.1
1147,83003,2020,Feb,19,11,16.1
1148,83007,2012,Mar,28,17,18.7
1149,83044,2022,Apr,9,16,16.1
1150,83059,2018,Apr,27,14,19.8
1151,83061,2015,Jul,27,13,17.1
1152,83061,2017,Sep,1,16,17.1
1153,83064,2016,Jul,15,16,19.8
1154,83069,2016,Jul,14,18,20.8
1155,83069,2019,Jun,14,14,20.8
1156,83076,2022,Jul,31,13,19.5
1157,83082,2019,Jul,5,15,16.1
1158,83099,2012,Aug,31,14,20.6
1159,83101,2017,Jun,7,13,18.4
1160,83107,2019,Aug,19,14,20.6
1161,83114,2012,May,5,17,20.1
1162,83119,2017,Jul,24,21,18.8
1163,83124,2021,Jun,30,15,19.75
1164,83124,2022,Jun,11,12,19.75
1165,83137,2019,Jul,18,13,19.4
1166,83140,2013,Apr,13,14,19.5
1167,83142,2017,Oct,8,14,16.1
1168,83150,2012,Jul,11,14,20.4
1169,83153,2019,Jul,29,12,17.8
1170,84030,2016,Aug,27,16,20.1
1171,84034,2016,Mar,23,12,19.1
1172,84035,2019,Jul,23,15,19.2
