id,commune,code_INSEE,surface_parcourue_m2,annee,mois,jour,heure,nature_inc_prim,nature_inc_sec
1110,Saint-Denis-en-Margeride,48145,60000,2022,Mar,1,11,Involontaire,travaux
1111,Chirac,48049,50000,2022,Mar,6,19,Involontaire,travaux
1112,ChasseradÃ¨s,48040,60000,2022,Mar,7,19,Involontaire,particulier
1113,Guzargues,34118,329248,2022,Jun,17,15,Accidentelle,NA
1114,Saint-Jean-de-la-BlaquiÃ¨re,34268,146953,2022,Jun,17,16,Malveillance,NA
1115,Laroque-des-AlbÃ¨res,66093,101000,2022,Jun,23,14,Malveillance,NA
1116,Grignan,26146,363463,2022,Jun,18,11,Malveillance,NA
1117,Saint-BarthÃ©lemy-de-Vals,26295,110000,2022,Jun,19,13,Malveillance,NA
1118,Santo-Pietro-di-Tenda,2B314,350000,2022,Jun,7,14,Involontaire,travaux
1119,Vivario,2B354,261600,2022,Jun,8,23,Malveillance,NA
1120,Ghisonaccia,2B123,57000,2022,Jun,10,18,Malveillance,NA
1121,Barbaggio,2B029,53000,2022,Jun,12,11,Malveillance,NA
1122,Linguizzetta,2B143,730000,2022,Jun,13,12,Involontaire,particulier
1123,Ghisonaccia,2B123,235900,2022,Jun,21,11,Involontaire,travaux
1124,AlÃ©ria,2B009,300000,2022,Jun,24,12,Involontaire,travaux
1125,Venaco,2B341,50000,2022,Jun,23,1,Malveillance,NA
1126,Ville-di-Paraso,2B352,81000,2022,Jun,26,13,Malveillance,NA
1127,Seillans,83124,150000,2022,Jun,11,12,Involontaire,travaux
1128,Serviers-et-Labaume,30319,772400,2022,Jun,13,15,Involontaire,travaux
1129,Rivesaltes,66164,55000,2022,Jun,28,11,Malveillance,NA
1130,Cases-de-PÃ¨ne,66041,66300,2022,Jun,28,18,Malveillance,NA
1131,Millas,66108,661500,2022,Jun,29,15,Malveillance,NA
1132,Milhaud,30169,138303,2022,Jul,8,0,Accidentelle,NA
1133,Saussan,34295,121971,2022,Jul,1,16,Malveillance,NA
1134,Saint-Pons-de-Mauchiens,34285,116264,2022,Jul,5,18,Malveillance,NA
1135,Boucieu-le-Roi,7040,65000,2022,Jun,20,17,Accidentelle,NA
1136,Gorges du Tarn Causses,48146,370000,2022,Jul,19,13,Involontaire,travaux
1137,BÃ©douÃ¨s,48022,120000,2022,Jul,20,16,Involontaire,travaux
1138,48022,4179,210000,2022,Jul,19,16,Naturelle,NA
1139,Castello-di-Rostino,2B079,148000,2022,Jul,24,14,Malveillance,NA
1140,Venaco,2B341,300900,2022,Jul,28,13,Malveillance,NA
1141,Albertacce,2B007,219000,2022,Jul,28,16,Malveillance,NA
1142,Santo-Pietro-di-Tenda,2B314,300000,2022,Aug,1,8,Malveillance,NA
1143,Vendres,34329,138560,2022,Jul,26,18,Malveillance,NA
1144,PuÃ©chabon,34221,154863,2022,Jul,26,21,Malveillance,NA
1145,Les Rives,34230,291900,2022,Jul,28,13,Naturelle,NA
1146,Montagnac,34162,130122,2022,Aug,2,15,Malveillance,NA
1147,LucÃ©ram,6077,63000,2022,Jul,31,17,Accidentelle,NA
1148,Saint-Ã‰tienne-VallÃ©e-FranÃ§aise,48148,150000,2022,Aug,2,17,Accidentelle,NA
1149,Serdinya,66193,973700,2022,Jul,23,14,Involontaire,particulier
1150,Vallon-Pont-d'Arc,7330,732400,2022,Jul,18,14,Malveillance,NA
1151,Laurac-en-Vivarais,7134,713800,2022,Jul,22,16,Malveillance,NA
1152,Darbres,7077,180000,2022,Jul,27,10,Malveillance,NA
1153,Mazaugues,83076,343300,2022,Jul,31,13,Involontaire,travaux
1154,Tresserre,66214,50000,2022,Jul,30,21,Accidentelle,NA
1155,VacquiÃ¨res,34318,321000,2022,Aug,6,15,Involontaire,particulier
1156,Faucon-de-Barcelonnette,4086,97000,2022,Feb,8,11,Involontaire,particulier
1157,Sisteron,4209,62300,2022,Feb,9,14,Involontaire,particulier
1158,Les Bondons,48028,290000,2022,Aug,5,18,Naturelle,NA
1159,Cournonsec,34087,69233,2022,Jul,10,11,Involontaire,particulier
1160,Portiragnes,34209,115995,2022,Jul,20,11,Involontaire,travaux
1161,Pied-de-Borne,48015,100000,2022,Aug,12,17,Accidentelle,NA
1162,Amirat,6002,120000,2022,Aug,6,17,Naturelle,NA
1163,Cozzano,2A099,51000,2022,Aug,7,16,Naturelle,NA
1164,Empurany,7085,121000,2022,Aug,10,14,Accidentelle,NA
1165,Lamastre,7129,105000,2022,Aug,13,11,Malveillance,NA
1166,Saint-Quentin-la-Poterie,30295,512700,2022,Jul,24,16,Malveillance,NA
1167,Rosis,34235,71168,2022,Aug,7,16,Malveillance,NA
1168,AvÃ¨ne,34019,362900,2022,Aug,7,16,Accidentelle,NA
1169,Pia,66141,58000,2022,Aug,7,14,Malveillance,NA
1170,Velaux,13112,95400,2022,Jul,3,16,Involontaire,particulier
1171,Martigues,13056,83100,2022,Jul,8,16,Involontaire,particulier
1172,Saint-Mitre-les-Remparts,13098,248600,2022,Jul,8,2,Malveillance,NA
1173,SeptÃ¨mes-les-Vallons,13106,349990,2022,Jul,31,16,Accidentelle,NA
1174,CabriÃ¨s,13019,50000,2022,Aug,2,16,Accidentelle,NA
1175,Saint-Martin-de-Crau,13097,948280,2022,Aug,22,15,Malveillance,NA
1176,Castellane,4039,289400,2022,Feb,10,15,Involontaire,particulier
1177,Montpezat-sous-Bauzon,7161,248000,2022,Aug,28,0,Malveillance,NA
1178,Beaulieu,7028,80000,2022,Sep,1,11,Naturelle,NA
1179,BÃ©douÃ¨s-CocurÃ¨s,48050,60000,2022,Sep,18,15,Accidentelle,NA
1180,Comigne,11095,285519,2022,Aug,29,12,Involontaire,particulier
1181,Tende,6163,68800,2022,Sep,19,11,Involontaire,travaux
1182,Roquebrune-Cap-Martin,6104,71000,2022,Sep,9,23,Involontaire,travaux
1183,Oletta,2B185,80000,2022,Oct,5,14,Malveillance,NA
1184,CaudiÃ¨s-de-FenouillÃ¨des,66046,811900,2022,Aug,15,2,Malveillance,NA
1185,Port-Vendres,66148,64000,2022,Sep,3,2,Accidentelle,NA
1186,Sant'AndrÃ©a-di-Bozio,2B292,55000,2022,Oct,22,13,Malveillance,NA
1187,Sant'AndrÃ©a-di-Bozio,2B292,102070,2022,Oct,24,12,Malveillance,NA
1188,Campitello,2B055,177900,2022,Oct,28,15,Malveillance,NA
1189,Venterol,26367,200000,2022,Jul,18,16,Malveillance,NA
1190,Fabrezan,11132,54800,2022,Nov,20,14,Involontaire,travaux
1191,La Souche,7315,50000,2022,Jan,16,16,Involontaire,particulier
1192,Piolenc,84091,264600,2022,Jul,1,14,Involontaire,particulier
1193,Vallabrix,30337,54745,2022,Jul,24,17,Accidentelle,NA
1194,Bastelica,2A031,50000,2022,Jan,30,16,Involontaire,travaux
1195,Le Fugeret,4090,221200,2022,Jan,16,13,Involontaire,travaux
1196,Colmars,4061,105700,2022,Jan,17,11,Involontaire,particulier
1197,AullÃ¨ne,2A024,387700,2022,Feb,24,17,Malveillance,NA
1198,Valdeblore,6153,70000,2022,Feb,26,14,Involontaire,particulier
1199,Saint-ClÃ©ment,7226,94600,2022,Feb,18,16,Involontaire,particulier
1200,Le Roux,7200,134800,2022,Feb,26,16,Involontaire,particulier
1201,La Hague,50041,390000,2022,Jul,17,2,Malveillance,NA
1202,La Hague,50041,60000,2022,Jul,17,23,Malveillance,NA
